icao,airline,callsign
CMS,"Commercial Aviation","ACCESS"
GAR,"Commodore Aviation",""
CJS,"Commonwealth Jet Service","COMMONWEALTH"
UCA,"CommutAir","COMMUTAIR"
CWK,"Comores Airlines","CONTICOM"
CGR,"Compagnia Generale Ripreseaeree","COMPRIP"
CMM,"Compagnie Aérienne du Mali","CAMALI"
CPM,"Compagnie Mauritanienne Des Transports",""
GIC,"Compagnie de Bauxites de Guinee","CEBEGE"
AIF,"Compañía Aérea de Valencia",""
ATF,"Compañía Aerotécnicas Fotográficas","AEROTECNICAS"
LCT,"Compañía De Actividades Y Servicios De Aviación","STELLAIR"
EJV,"Compania Ejecutiva","EJECUTIVA"
HSE,"Compania Helicopteros Del Sureste","HELISURESTE"
MDR,"Compania Mexicana De Aeroplanos","AEROPLANOS"
HSS,"Compañía Transportes Aéreos Del Sur","TAS HELICOPTEROS"
TAV,"Compañía de Servicios Aéreos Tavisa","TAVISA"
CYF,"Company Flight","COMPANY FLIGHT"
CPZ,"Compass Airlines","COMPASS ROSE"
CPS,"Compass International Airways","COMPASS"
XCO,"Compuflight Operations Service",""
XCS,"Compuserve Incorporated",""
CRC,"Conair Aviation","CONAIR-CANADA"
COD,"Concordavia","CONCORDAVIA"
CNR,"Condor Aero Services","CONAERO"
CIB,"Condor","CONDOR BERLIN"
CFG,"Condor Flugdienst","CONDOR"
COF,"Confort Air","CONFORT"
CAK,"Congo Air",""
CGA,"Congressional Air","CONGRESSIONAL"
ROY,"Conifair Aviation",""
CCT,"Connect Air","CONNECT"
BSN,"Connectair Charters","BASTION"
CAC,"Conquest Airlines","CONQUEST AIR"
CXO,"Conroe Aviation Services","CONROE AIR"
VCH,"Consorcio Helitec","CONSORCIO HELITEC"
UZA,"Constanta Airline","CONSTANTA"
KIS,"Contactair","CONTACTAIR"
XCL,"Contel ASC",""
COA,"Continental Airlines","CONTINENTAL"
CMI,"Continental Micronesia","AIR MIKE"
CON,"Continental Oil","CONOCO"
VCV,"Conviasa","CONVIASA"
CKA,"Cook Inlet Aviation","COOK-AIR"
SVY,"Cooper Aerial Surveys","SURVEYOR"
CMP,"Copa Airlines","COPA"
CAT,"Copenhagen Air Taxi","AIRCAT"
COP,"Copper State Air Service","COPPER STATE"
AAQ,"Copterline","COPTERLINE"
CCW,"Central Charter","CENTRAL CHARTER"
CAI,"Corendon Airlines","CORENDON"
CND,"Corendon Dutch Airlines","DUTCH CORENDON"
CXI,"Corendon Airlines Europe","TOURISTIC"
CRA,"Coronado Aerolíneas","CORAL"
CPB,"Corpac Canada","PENTA"
CNC,"Corporación Aéreo Cencor","CENCOR"
CPG,"Corporacion Aeroangeles","CORPORANG"
CGY,"Corporacion Paraguaya De Aeronautica",""
CPT,"Corporate Air","AIR SPUR"
CPR,"Corporate Air","CORPAIR"
CPO,"Corporate Aircraft Company","MOKAN"
COO,"Corporate Airlink","CORPORATE"
CKE,"Corporate Aviation Services","CHECKMATE"
VHT,"Corporate Flight International","VEGAS HEAT"
VTE,"Contour Airlines","VOLUNTEER"
CJI,"Corporate Jets","SEA JET"
CRL,"Corsairfly","CORSAIR"
CCM,"Corse Méditerranée","CORSICA"
COZ,"Cosmic Air","COSMIC AIR"
COT,"Costa Airlines","COAIR"
CRG,"Costa Rica Green Airways",""
CHI,"Cougar Helicopters","COUGAR"
MGB,"Coulson Flying Service","MOCKINGBIRD"
NSW,"Country Connection Airlines",""
CIK,"Country International Airlines","COUNTRY AIR"
CSD,"Courier Services","DELIVERY"
CUT,"Court Helicopters","COURT AIR"
CVL,"Coval Air","COVAL"
COW,"COWI","COWI"
COY,"Coyne Aviation","COYNE AIR"
CFD,"Cranfield University","AERONAUT"
CRE,"Cree Airways","CREE AIR"
ELM,"Crelam","CRELAM"
CAN,"Crest Aviation","CREST"
KRM,"Crimea Universal Avia","TRANS UNIVERSAL"
CTN,"Croatia Airlines","CROATIA"
HRZ,"Croatian Air Force","CROATIAN AIRFORCE"
CRX,"Cross Aviation","CROSSAIR"
ECC,"Crossair Europe","Cigogne"
CWX,"Crow Executive Air","CROW EXPRESS"
CKR,"Crown Air Systems","CROWN AIR"
CRO,"Crown Airways","CROWN AIRWAYS"
CRW,"Crownair","REGAL"
VCR,"Cruiser Linhas Aéreas","VOE CRUISER"
CTY,"Cryderman Air Service","CENTURY"
CYT,"Crystal Shamrock Airlines","CRYSTAL-AIR"
CUB,"Cubana de Aviación","CUBANA"
CTF,"Cutter Aviation","CUTTER FLIGHT"
CBL,"Cumberland Airways (Nicholson Air Service)","CUMBERLAND"
CTT,"Custom Air Transport","CATT"
RGN,"Cygnus Air","CYGNUS AIR"
CYC,"Cyprair Tours","CYPRAIR"
CYS,"Cypress Airlines","SKYBIRD"
CYP,"Cyprus Airways","CYPRUS"
KYV,"Cyprus Turkish Airlines","AIRKIBRIS"
CEF,"Czech Air Force","CZECH AIR FORCE"
AHD,"Czech Air Handling","AIRHANDLING"
CSA,"Czech Airlines","CSA-LINES"
CIE,"Czech Government Flying Service","CZECH REPUBLIC"
CGP,"Cargo Plus Aviation",""
HNL,"CHC Helicopters Netherlands","MAPLELEAF"
KEM,"CemAir","CEMAIR"
JLH,"Centro de Servicio Aeronautico","CESA"
FCB,"Cobalt","NEW AGE"
CVK,"CAVOK Airlines","CARGO LINE"
CLI,"Clickair","CLICKJET"
CHB,"West Air (China)","WEST CHINA"
CRN,"Carson Air Ltd","CARSON"
DJT,"Dreamjet","DREAMJET"
DPJ,"Delta Private Jets","JET CARD"
DJR,"Desert Jet","DESERT FLIGHT"
DLC,"Dehong South Asian General Aviation","SOARCOPTER"
DLH,"Deutsche Luft Hansa","DEUTSCHE LUFT HANSA"
DNS,"Dniproaviaservis Company",""
DRF,"Dream Flyers Training Center",""
DMF,"DMCFLY","DEMLY"
NAU,"Danaus Lineas Aereas","DANAUS"
GDF,"DF Aviation",""
DDA,"D & D Aviation","DUSTY"
DNK,"D&K Aviation","DIRECT JET"
VPA,"DanubeWings","VIP TAXI"
DHE,"DAP Helicopteros","HELIDAP"
VLF,"DFS UK Limited","VOLANTE"
DSR,"DAS Air Cargo","DAIRAIR"
RKC,"DAS Airlines","DAS CONGO"
DTR,"DAT Danish Air Transport","DANISH"
ENT,"DAT Enterprise Limited","DATENT"
BDN,"DERA Boscombe Down","GAUNTLET"
DSN,"DESNA","DESNA"
DET,"DETA Air","SAMAL"
DGO,"DGO Jet","DGO JET"
DAE,"DHL Aero Expreso","YELLOW"
DHK,"DHL Air Limited","WORLD EXPRESS"
DHV,"DHL Aviation","WORLDSTAR"
DHX,"DHL International","DILMUN"
JOS,"DHL de Guatemala",""
RSK,"DSWA","REDSKIN"
DAO,"Daallo Airlines","DALO AIRLINES"
DAG,"Dagestan Airlines","DAGAL"
DHA,"Dahla Airlines",""
CCD,"Dalian Airlines","XIANGJIAN"
DCS,"DC Aviation","TWIN STAR"
DCX,"Daimler-Chrysler","DAIMLER"
DKA,"Daka",""
DLR,"Dala Air Services","DALA AIR"
KHB,"Dalavia","DALAVIA"
DXP,"Dallas Express Airlines","DALLAS EXPRESS"
DAS,"Damascene Airways","AIRDAM"
DSA,"Danbury Airways","DANBURY AIRWAYS"
DOP,"Dancopter","DANCOPTER"
DAF,"Danish Air Force","DANISH AIRFORCE"
DDL,"Danish Air Lines",""
DAR,"Danish Army","DANISH ARMY"
DNY,"Danish Navy","DANISH NAVY"
DNU,"Danu Oro Transportas","DANU"
DRT,"Darta","DARTA"
DWT,"Darwin Airline","DARWIN"
DSQ,"Dasab Airlines","DASAB AIR"
DSH,"Dash Air Charter","DASH CHARTER"
GOB,"Dash Aviation","PILGRIM"
DGX,"Dasnair","DASNA"
DAB,"Dassault Aviation",""
CVF,"Dassault Falcon Jet Corporation","CLOVERLEAF"
DSO,"Dassault Falcon Service","DASSAULT"
DTN,"Data International","DATA AIR"
XDT,"Date Transformation Corp",""
DAU,"Dauair","DAUAIR"
DCO,"David Crawshaw Consultants Limited",""
DWN,"Dawn Air","DAWN AIR"
DJS,"DayJet","DAYJET"
DAY,"Daya Aviation","DAYA"
DHC,"De Havilland","DEHAVILLAND"
IAY,"Deadalos Flugtbetriebs","IASON"
DAA,"Decatur Aviation","DECUR"
DKN,"Deccan Charters","DECCAN"
JDC,"Deere & Company","JOHN DEERE"
DWR,"Delaware Skyways","DELAWARE"
DEA,"Delta Aerotaxi","JET SERVICE"
SNO,"Delta Air Charter","SNOWBALL"
ELJ,"Delta Private Jets","ELITE JET"
DAL,"Delta Air Lines","DELTA"
KMB,"Delta Engineering Aviation","KEMBLEJET"
DLI,"Delta Express International","DELTA EXPRESS"
DSU,"Delta State University","DELTA STATE"
DNM,"Denim Air","DENIM"
FEC,"Denver Express","FALCON EXPRESS"
DJT,"Denver Jet","DENVER JET"
FGC,"Departament d'Agricultura de la Generalitat de Catalunya","FORESTALS"
DRY,"Deraya Air Taxi","DERAYA"
DRX,"Des R Cargo Express",""
MIZ,"Desarrollo Milaz","MILAZ"
DTY,"Destiny Air Services","DESTINY"
AMB,"Deutsche Rettungsflugwacht","CIVIL AIR AMBULANCE"
LFO,"Deutsches Zentrum fur Luft-und Raumfahrt EV","LUFO"
DIS,"Di Air","DI AIR"
SPK,"Diamond Aviation","SPARKLE"
DRB,"Didier Rousset Buy","DIDIER"
DGT,"Digital Equipment Corporation","DIGITAL"
DIP,"Diplomatic Freight Services","DIPFREIGHT"
ENA,"Dirección General de Aviación Civil y Telecomunicasciones","ENA"
DIA,"Direct Air","BLUE SKY"
XAP,"Direct Air trading as Midway Connection","MID-TOWN"
DCT,"Direct Flight",""
SXP,"Direct Fly","EXPRESS SKY"
DIR,"Dirgantara Air Service","DIRGANTARA"
DCV,"Discover Air","DISCOVER"
OCN,"Discover Airlines","OCEAN"
DVA,"Discovery Airways","DISCOVERY AIRWAYS"
XDS,"Dispatch Services",""
DIX,"Dix Aviation","DIX FLIGHT"
DEE,"Dixie Airways","TACAIR"
UDN,"Dniproavia","DNIEPRO"
FDN,"Dolphin Air","FLYING DOLPHIN"
IXX,"Dolphin Express Airlines","ISLAND EXPRESS"
DPL,"Dome Petroleum","DOME"
ADM,"Dominair","DOMINAIR"
MYO,"Dominguez Toledo (Grupo Mayoral)","MAYORAL"
DOA,"Dominicana de Aviación","DOMINICANA"
DMO,"Domodedovo Airlines","DOMODEDOVO"
DVB,"Don Avia","DONSEBAI"
DON,"Donair Flying Club","DONAIR"
DNV,"Donavia","DONAVIA"
UDC,"DonbassAero","DONBASS AERO"
EPA,"Donghai Airlines","DONGHAI AIR"
DAD,"Dorado Air","DORADO AIR"
DOR,"Dornier","DORNIER"
DAV,"Dornier Aviation Nigeria","DANA AIR"
DOM,"Dos Mundos","DOS MUNDOS"
DCA,"Dreamcatcher Airways","DREAM CATCHER"
DRK,"Druk Air","ROYAL BHUTAN"
DRE,"Drummond Island Air","MICHIGAN"
DUB,"Dubai Airwing","DUBAI"
DBK,"Dubrovnik Air","SEAGULL"
DUK,"Ducair","LION KING"
DBJ,"Duchess of Brittany (Jersey) Limited","DUCHESS"
LPD,"UK Royal/HRH Duke of York","LEOPARD"
DUN,"Dun'Air","DUNAIR"
PHD,"Duncan Aviation","PANHANDLE"
VVF,"Dunyaya Bakis Hava Tasimaciligi","WORLDFOCUS"
DUO,"Duo Airways","FLY DUO"
DJE,"Durango Jet","DURANGO JET"
DNL,"Dutch Antilles Express","DUTCH ANTILLES"
DCE,"Dutch Caribbean Express","DUTCH CARIBBEAN"
DBR,"Dutchbird","DUTCHBIRD"
DBR,"Dobrolet","DOBROLET"
DFS,"Dwyer Aircraft Services","DWYAIR"
XDY,"Dynair Services",""
DNR,"Dynamair Aviation","DYNAMAIR"
DYE,"Dynamic Air","DYNAMIC"
DYA,"Dynamic Airways","DYNAMIC AIR"
BAG,"Dba","SPEEDWAY"
DKH,"Juneyao Air","AIR JUNEYAO"
EAV,"Eagle Airlines Luftverkehrsges","MAYFLOWER"
ABU,"Eagle Aviation Services",""
ISL,"Eastland Air Services (Flugfélag Austurlands)","EASTLAND"
EBF,"Echo Airlines",""
ENY,"Envoy Air","ENVOY"
ENK,"Executive Airlink","SUNBIRD"
ELB,"Ellinair","ELLINAIR HELLAS"
ELN,"Eleron Aviation Company","ELERON"
ECC,"Eclair Aviation","ECLAIR"
ELU,"Egyptian Leisure Airlines","EGYPTIAN LEISURE"
EDV,"Endeavor Air","ENDEAVOR"
MNU,"Elite Airways","MAINER"
EHD,"E H Darby Aviation","PLATINUM AIR"
EXW,"Executive Airlines Services","ECHOLINE"
EFS,"EFAOS- Agencia De Viagens e Turismo","EFAOS"
EFD,"Eisele Flugdienst","EVER FLIGHT"
FSD,"EFS-Flugservice","FLUGSERVICE"
EIS,"EIS Aircraft","COOL"
IAG,"EPAG","EPAG"
ESI,"ESI Eliservizi Italiani","ELISERVIZI"
EUY,"EU Airways","EUROAIRWAYS"
EUJ,"EUjet","UNION JET"
ICR,"Eagle Aero","ICARUS FLIGHTS"
FEI,"Eagle Air","ARCTIC EAGLE"
EGR,"Eagle Air","EAGLE SIERRA"
EFL,"Eagle Air","FLYING EAGLE"
EGU,"Eagle Air","AFRICAN EAGLE"
EAG,"Eagle Airways","EAGLE"
EGX,"Eagle Air Company","THAI EAGLE"
GYP,"Eagle Aviation","GYPSY"
EGN,"Eagle Aviation France","FRENCH EAGLE"
EES,"Eagle Express",""
EZX,"Eagle Express Air Charter","EAGLEXPRESS"
SEG,"Eagle International","SEN-EAGLE"
EGJ,"Eagle Jet Charter","EAGLE JET"
EMD,"Eaglemed (Ballard Aviation)","EAGLEMED"
ERX,"Earth Airlines Services","EARTH AIR"
HSA,"East African Safari Air","DUMA"
EXZ,"East African Safari Air Express","TWIGA"
EMU,"East Asia Airlines","EAST ASIA"
ECT,"East Coast Airways","EASTWAY"
ECJ,"East Coast Jets","EASTCOAST JET"
EHA,"East Hampton Aire","AIRE HAMPTON"
EKC,"East Kansas City Aviation","BLUE GOOSE"
CTK,"East Midlands Helicopters","COSTOCK"
DXH,"East Star Airlines","EAST STAR"
EWA,"East-West Airlines","EASTWEST"
ESR,"Eastar Jet","EASTAR"
EAZ,"Eastern Air","EASAIR"
EAX,"Eastern Air Executive","EASTEX"
EAL,"Eastern Air Lines","EASTERN"
EZE,"Eastern Airways","EASTFLIGHT"
EAQ,"Eastern Australia Airlines","EASTERN"
ECI,"Eastern Carolina Aviation","EASTERN CAROLINA"
GNS,"Eastern Executive Air Charter","GENESIS"
LIS,"Eastern Express","LARISA"
EME,"Eastern Metro Express","EMAIR"
EPB,"Eastern Pacific Aviation","EAST PAC"
ESJ,"Eastern SkyJets","EASTERN SKYJETS"
ELA,"Eastland Air",""
SGR,"Eastwind Airlines","STINGER"
FYE,"Easy Link Aviation Services","FLYME"
EJU,"easyJet Europe","ALPINE"
EZS,"easyJet Switzerland","TOPSWISS"
EZY,"easyJet UK","EASY"
CMN,"Eckles Aircraft","CIMMARON AIRE"
EJT,"Eclipse Aviation","ECLIPSE JET"
ECQ,"Eco Air","SKYBRIDGE"
DEI,"Ecoair",""
NAK,"École Nationale de l'Aviation Civile","ENAC SCHOOL"
ECX,"Ecomex Air Cargo","AIR ECOMEX"
ECD,"Ecotour","ECOTOUR"
XCC,"Ecoturistica de Xcalak","XCALAK"
ECV,"Ecuatoguineana De Aviación (EGA)","EQUATOGUINEA"
EQC,"Ecuatorial Cargo","ECUA-CARGO"
ECU,"Ecuavia","ECUAVIA"
EDW,"Edelweiss Air","EDELWEISS"
SLO,"Edgartown Air","SLOW"
EDC,"Air Charter Scotland","SALTIRE"
EDJ,"Edwards Jet Center of Montana","EDWARDS"
EIJ,"Efata Papua Airlines","EFATA"
EUW,"EFS European Flight Service","EUROWEST"
MSR,"Egyptair","EGYPTAIR"
MSX,"Egyptair Cargo","EGYPTAIR CARGO"
EGY,"Egyptian Air Force",""
EJX,"Egyptian Aviation",""
EMA,"Egyptian Aviation Company",""
EIX,"Ei Air Exports","AIR EXPORTS"
EIR,"Eirjet","EIRJET"
ELY,"El Al Israel Airlines","ELAL"
CMX,"El Caminante Taxi Aéreo","EL CAMINANTE"
GLQ,"El Quilada International Aviation","QUILADA"
ELS,"El Sal Air","EL SAL"
ESC,"El Sol De América","SOLAMERICA"
BRQ,"El-Buraq Air Transport","BURAQAIR"
ELX,"Elan Express","ELAN"
LBR,"Elbe Air Transport","MOTION"
NLK,"Elbrus-Avia Air Enterprise","ELAVIA"
DND,"Eldinder Aviation","DINDER"
PDV,"Elicar","ELICAR"
EDO,"Elidolomiti","ELIDOLOMITI"
ELB,"Elieuro","ELILOBARDIA"
EFG,"Elifriulia","ELIFRIULIA"
ELH,"Elilario Italia","LARIO"
EOA,"Elilombarda","LOMBARDA"
MEE,"Elimediterranea","ELIMEDITERRANEA"
VUL,"Elios","ELIOS"
IEP,"Elipiu'","ELIPIU"
RSA,"Elisra Airlines","ESRA"
EAI,"Elite Air","ELAIR"
EJD,"Elite Jets","ELITE DUBAI"
FGS,"Elitellina","ELITELLINA"
ELT,"Elliott Aviation","ELLIOT"
MGG,"Elmagal Aviation Services","ELMAGAL"
ELR,"Elrom Aviation and Investments",""
EAM,"Embassy Airlines","EMBASSY AIR"
EFT,"Embassy Freight Company","EMBASSY FREIGHT"
EMB,"Empresa Brasileira De Aeronáutica","EMBRAER"
XSL,"Embry-Riddle Aeronautical University","SATSLAB"
ERU,"Embry-Riddle Aeronautical University","RIDDLE"
EAI,"Emerald Airlines","GEMSTONE"
JEM,"Emerald Airways","GEMSTONE"
EWW,"Emery Worldwide Airlines","EMERY"
EMT,"Emetebe","EMETEBE"
UAE,"Emirates","EMIRATES"
SBC,"Emoyeni Air Charter","SABIAN AIR"
EMP,"Empire Air Service","EMPIRE"
CFS,"Empire Airlines","EMPIRE AIR"
MPR,"Empire Aviation Services",""
ETP,"Empire Test Pilots' School","TESTER"
AUO,"Empresa (Aero Uruguay), S.A.","UNIFORM OSCAR"
PRG,"Empresa Aero-Servicios Parrague","ASPAR"
VNA,"Empresa Aviación Interamericana","EBBA"
EEA,"Empresa Ecuatoriana De Aviación","ECUATORIANA"
CNI,"Empresa Nacional De Servicios Aéreos","SERAER"
VNE,"Empresa Venezolana","VENEZOLANA"
GTV,"Empresa de Aviación Aerogaviota","GAVIOTA"
XLT,"Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero","INFRAERO"
ENC,"Endecots","ENDECOTS"
ENI,"Enimex","ENIMEX"
ENK,"Enkor JSC","ENKOR"
EGV,"Enrique Gleisner Vivanco","GLEISNER"
ESE,"Ensenada Vuelos Especiales","ENSENADA ESPECIAL"
ENT,"Enter Air","ENTER"
ENS,"Entergy Services","ENTERGY SHUTTLE"
EWS,"Enterprise World Airways","WORLD ENTERPRISE"
ESS,"Eos Airlines","NEW DAWN"
EKA,"Equaflight Service","EQUAFLIGHT"
EQZ,"Equatair Air Services (Zambia)","ZAMBIA CARGO"
EQT,"Equatorial Airlines",""
EQR,"Equatorial Congo Airlines","ECAIR"
ERH,"Era Helicopters","ERAH"
IRY,"Eram Air","ERAM AIR"
ERF,"Erfoto","ERFOTO"
ERE,"Erie Airways","AIR ERIE"
ERT,"Eritrean Airlines","ERITREAN"
EAD,"Escola De Aviacao Aerocondor","AERO-ESCOLA"
CTV,"Escuela De Pilotos Are Aviación","ARE AVIACION"
EPC,"Espace Aviation Services","ESPACE"
ERC,"Esso Resources Canada","ESSO"
ESF,"Estafeta Carga Aérea",""
EEF,"Estonian Air Force","ESTONIAN AIR FORCE"
ELL,"Estonian Air","ESTONIAN"
ETA,"Estrellas Del Aire","ESTRELLAS"
ETH,"Ethiopian Airlines","ETHIOPIAN"
MJM,"Eti 2000","ELCO ETI"
ETD,"Etihad Airways","ETIHAD"
ETM,"Etram Air Wing","ETRAM"
EVN,"Euraviation","EURAVIATION"
ECN,"Euro Continental AIE","EURO CONTINENTAL"
ESN,"Euro Sun","EURO SUN"
EAK,"Euro-Asia Air","EAKAZ"
KZE,"Euro-Asia Air International","KAZEUR"
MMZ,"EuroAtlantic Airways","EUROATLANTIC"
SEB,"Euroavia Airlines","EURO AVIA"
GOJ,"EuroJet Aviation","GOJET"
EUP,"Pan Europeenne Air Service","SAVOY"
EUU,"Euroamerican Air","EUROAMERICAN"
ECY,"Euroceltic Airways","ECHELON"
EUC,"Eurocontrol",""
ECF,"Eurocopter","EUROCOPTER"
ECA,"Eurocypria Airlines","EUROCYPRIA"
EEZ,"Eurofly","E-FLY"
EEU,"Eurofly Service","EUROFLY"
EUG,"Euroguineana de Aviación","EUROGUINEA"
ERJ,"Eurojet Italia","JET ITALIA"
JLN,"Eurojet Limited","JET LINE"
RDP,"Eurojet Romania","JET-ARROW"
EJS,"Eurojet Servis","EEJAY SERVICE"
ELO,"Eurolot","EUROLOT"
EMX,"Euromanx Airways","EUROMANX"
GED,"Europe Air Lines","LANGUEDOC"
FPO,"Europe Airpost","FRENCH POST"
EUT,"European 2000 Airlines","FIESTA"
EAG,"European Aeronautical Group UK",""
EAL,"European Air Express","STAR WING"
BCS,"European Air Transport","POSTMAN"
EAF,"European Aviation Air Charter","EUROCHARTER"
EBJ,"European Business Jets",""
ECB,"European Coastal Airlines","COASTAL CLIPPER"
ETV,"European Executive","EURO EXEC"
EXC,"European Executive Express","ECHO EXPRESS"
EBG,"Eurosense","EUROSENSE"
ESX,"Euroskylink","CATFISH"
EWG,"Eurowings","EUROWINGS"
EWL,"Eurowings Europe","Black Pearl"
EVA,"EVA Air","EVA"
EVE,"Evelop Airlines","EVELOP"
EVK,"Everett Aviation","EVERETT"
EVT,"Everett Limited",""
EIA,"Evergreen International Airlines","EVERGREEN"
VTS,"Everts Air Alaska/Everts Air Cargo","EVERTS"
EVL,"Evolem Aviation","EVOLEM"
EWR,"Ewa Air","MAYOTTE AIR"
EMN,"Examiner Training Agency","AGENCY"
XLA,"Excel Airways","EXPO"
XEL,"Excel Charter","HELI EXCEL"
GZA,"Excellent Air","EXCELLENT AIR"
EXA,"Execair Aviation","CANADIAN EXECAIRE"
VCN,"Execujet Charter","AVCON"
EJO,"Execujet Middle East","MIDJET"
VMP,"Execujet Scandinavia","VAMPIRE"
LFL,"Executive Air","LIFE FLIGHT"
EAC,"Executive Air Charter","EXECAIR"
XAF,"Executive Air Fleet",""
ECS,"Executive Aircraft Charter and Charter Services","ECHO"
XAH,"Executive Aircraft Services",""
EXK,"Executive Airlines","EXECUTIVE EAGLE"
EXU,"Executive Airlines","SACAIR"
JTR,"Executive Aviation Services","JESTER"
EXE,"Executive Flight","EXEC"
TRI,"Executive Flight Operations Ontario Government","TRILLIUM"
EXJ,"Executive Jet Charter",""
EJM,"Executive Jet Management","JET SPEED"
TEA,"Executive Turbine Aviation","TRAVELMAX"
EXF,"Eximflight","EXIMFLIGHT"
EXN,"Exin","EXIN"
EXR,"Expertos En Carga","EXPERTOS ENCARGA"
FXA,"Express Air","EFFEX"
EIC,"Express International Cargo","EXCARGO"
XPL,"Express Line Aircompany","EXPRESSLINE"
XNA,"Express Net Airlines","EXPRESSNET"
LHN,"Express One International","LONGHORN"
XTO,"Express Tours","EXPRESS TOURS"
ASQ,"ExpressJet","ACEY"
XSL,"Excel-Aire Service","EXCELAIRE"
LTD,"Executive Express Aviation/JA Air Charter","LIGHT SPEED"
XSR,"Executive Flight Services","AIRSHARE"
EPR,"Express Airways","EMPEROR"
XRO,"ExxAero","CRAMER"
JTM,"Exxavia Limited","SKYMAN"
EZJ,"Ezjet GT","GUYANA JET"
EVS,"Exploits Valley Air Services","EVAS"
FRX,"Fort Aero","FORT AERO"
PBR,"Fast Air","POLAR BEAR"
SRE,"Fly Jetstream Aviation","STREAMJET"
FTZ,"Fastjet","GREY BIRD"
FAP,"F Air","FAIR SCHOOL"
FFL,"ForeFlight","FOREFLIGHT"
EYE,"F.S. Air Service","SOCKEYE"
IFA,"FAI Air Service","RED ANGEL"
FLC,"FINFO Flight Inspection Aircraft","FLIGHT CHECK"
FKI,"FLM Aviation Mohrdieck","KIEL AIR"
DCM,"FLTPLAN (anonymized service)","DOT COM"
FLW,"FLowair Aviation","QUICKFLOW"
FMG,"FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt","HUSKY"
FRA,"FR Aviation","RUSHTON"
FSB,"FSB Flugservice & Development","SEABIRD"
LEJ,"FSH Luftfahrtunternehmen","LEIPZIG FAIR"
FBA,"Fab Air","FAB AIR"
FCS,"Facts Air","MEXFACTS"
FAV,"Fair Aviation","FAIRAVIA"
FWD,"Fair Wind Air Charter","FAIR WIND"
FLS,"Fairlines","FAIRLINE"
FFC,"Fairoaks Flight Centre","FAIROAKS"
FWY,"Fairways Corporation","FAIRWAYS"
FCN,"Falcon Air","FALCON"
FAR,"Falcon Air","FALCAIR"
FAO,"Falcon Air Express","PANTHER"
FAU,"Falcon Airline","FALCON AIRLINE"
FBU,"French Bee","FRENCH BEE"
FVS,"Falcon Aviation Services","FALCON AVIATION"
FJC,"Falcon Jet Centre","FALCONJET"
FAW,"Falwell Aviation","FALWELL"
FEA,"Far Eastern Air Transport","Far Eastern"
FDL,"Farmingdale State University","FARMINGDALE STATE"
FAH,"Farnair Hungary","BLUE STRIP"
FRN,"Farnair Netherlands","FARNED"
FAT,"ASL Airlines Switzerland","FARNER"
RAF,"Farnas Aviation Services","FARNAS"
HBL,"Faroecopter","HELIBLUE"
RCK,"FaroeJet","ROCKROSE"
FRW,"Farwest Airlines","FARWEST"
FSW,"Faso Airways","FASO"
FHL,"Fast Helicopters","FINDON"
FAY,"Fayban Air Services","FAYBAN AIR"
SKM,"Fayetteville Flying Service and Scheduled Skyways System","SKYTEM"
FDR,"Federal Air","FEDAIR"
FLL,"Federal Airlines","FEDERAL AIRLINES"
DCN,"Federal Armed Forces","DIPLOMATIC CLEARANCE"
FRM,"Federal Armored Service","FEDARM"
NHK,"Federal Aviation Administration","NIGHTHAWK"
FDX,"FedEx Express","FEDEX"
FNK,"Feniks Airline","AURIKA"
FER,"Feria Aviación","FERIA"
HGK,"Fika Salaama Airlines","SALAAMA"
FNC,"Finalair Congo","FINALAIR CONGO"
FAK,"Financial Airxpress","FACTS"
FBF,"Fine Airlines","FINE AIR"
FTR,"Finist'air","FINISTAIR"
FIN,"Finnair","FINNAIR"
WBA,"Finncomm Airlines","WESTBIRD"
FNF,"Finnish Air Force","FINNFORCE"
FIH,"FinnHEMS","FINNHEMS"
FFM,"Firefly","FIREFLY"
FAB,"First Air","FIRST AIR"
JRF,"First Air Transport",""
FCC,"First Cambodia Airlines","FIRST CAMBODIA"
FCA,"Fly-Coop Air Service","COOPAIR"
MBL,"First City Air","FIRST CITY"
GGA,"First Flying Squadron","JAWJA"
FIR,"First Line Air","FIRSTLINE AIR"
FTS,"First Sabre","FIRST SABRE"
FFR,"Fischer Air","FISCHER"
FFP,"Fischer Air Polska","FLYING FISH"
EXV,"FitsAir","EXPOAVIA"
FSX,"Flagship Express Services","FLAG"
FLE,"Flair Airlines","FLAIR"
WAF,"Flamenco Airways","FLAMENCO"
FMR,"Flamingo Air","FLAMINGO AIR"
FLN,"Flamingo Air-Line","ILIAS"
FSH,"Flash Airlines","FLASH"
BWY,"Fleet Requirements Air Direction Unit","BROADWAY"
FLR,"Fleetair","FLEETAIR"
FXY,"Flexair","FLEXY"
FXT,"Flexflight",""
TUD,"Flight Alaska","TUNDRA"
FCK,"FCS Flight Calibration Services","NAV CHECKER"
VOR,"Flight Calibration Services Ltd.","FLIGHT CAL"
FCV,"Flight Centre Victoria","NAVAIR"
FCP,"Nelson Aviation College Ltd","FLIGHTCORP"
FDP,"Flight Dispatch Services",""
FLX,"Flight Express, Inc.","FLIGHT EXPRESS"
CFI,"Flight Inspection Center of the General Administration of Civil Aviation in China","CHINA JET"
